trialName	time	nFlying	pFlying	group	session
A	-60	5	27.7777777777778	ir25a_BamHI_het	1
A	-30	3	16.6666666666667	ir25a_BamHI_het	1
A	0	4	22.2222222222222	ir25a_BamHI_het	1
A	30	12	66.6666666666667	ir25a_BamHI_het	1
A	60	8	44.4444444444444	ir25a_BamHI_het	1
A	90	6	33.3333333333333	ir25a_BamHI_het	1
A	120	6	33.3333333333333	ir25a_BamHI_het	1
A	150	5	27.7777777777778	ir25a_BamHI_het	1
A	180	7	38.8888888888889	ir25a_BamHI_het	1
A	210	6	33.3333333333333	ir25a_BamHI_het	1
A	240	11	61.11111111111111	ir25a_BamHI_het	1
A	270	8	44.4444444444444	ir25a_BamHI_het	1
A	300	5	27.7777777777778	ir25a_BamHI_het	1
B	-60	4	23.5294117647059	ir25a_19_het	1
B	-30	4	23.5294117647059	ir25a_19_het	1
B	0	4	23.5294117647059	ir25a_19_het	1
B	30	8	47.0588235294118	ir25a_19_het	1
B	60	9	52.9411764705882	ir25a_19_het	1
B	90	5	29.4117647058824	ir25a_19_het	1
B	120	7	41.1764705882353	ir25a_19_het	1
B	150	6	35.2941176470588	ir25a_19_het	1
B	180	4	23.5294117647059	ir25a_19_het	1
B	210	6	35.2941176470588	ir25a_19_het	1
B	240	5	29.4117647058824	ir25a_19_het	1
B	270	7	41.1764705882353	ir25a_19_het	1
B	300	6	35.2941176470588	ir25a_19_het	1
C	-60	4	21.0526315789474	ir25a_BamHI_het	1
C	-30	1	5.26315789473684	ir25a_BamHI_het	1
C	0	4	21.0526315789474	ir25a_BamHI_het	1
C	30	14	73.6842105263158	ir25a_BamHI_het	1
C	60	9	47.3684210526316	ir25a_BamHI_het	1
C	90	5	26.3157894736842	ir25a_BamHI_het	1
C	120	5	26.3157894736842	ir25a_BamHI_het	1
C	150	5	26.3157894736842	ir25a_BamHI_het	1
C	180	4	21.0526315789474	ir25a_BamHI_het	1
C	210	3	15.7894736842105	ir25a_BamHI_het	1
C	240	3	15.7894736842105	ir25a_BamHI_het	1
C	270	5	26.3157894736842	ir25a_BamHI_het	1
C	300	4	21.0526315789474	ir25a_BamHI_het	1
D	-60	1	5.26315789473684	ir25a_BamHI19_ko	1
D	-30	2	10.5263157894737	ir25a_BamHI19_ko	1
D	0	2	10.5263157894737	ir25a_BamHI19_ko	1
D	30	15	78.9473684210526	ir25a_BamHI19_ko	1
D	60	14	73.6842105263158	ir25a_BamHI19_ko	1
D	90	11	57.8947368421053	ir25a_BamHI19_ko	1
D	120	11	57.8947368421053	ir25a_BamHI19_ko	1
D	150	8	42.1052631578947	ir25a_BamHI19_ko	1
D	180	9	47.3684210526316	ir25a_BamHI19_ko	1
D	210	8	42.1052631578947	ir25a_BamHI19_ko	1
D	240	7	36.8421052631579	ir25a_BamHI19_ko	1
D	270	9	47.3684210526316	ir25a_BamHI19_ko	1
D	300	4	21.0526315789474	ir25a_BamHI19_ko	1
E	-60	5	26.3157894736842	lvp_wt	1
E	-30	4	21.0526315789474	lvp_wt	1
E	0	2	10.5263157894737	lvp_wt	1
E	30	14	73.6842105263158	lvp_wt	1
E	60	12	63.1578947368421	lvp_wt	1
E	90	8	42.1052631578947	lvp_wt	1
E	120	12	63.1578947368421	lvp_wt	1
E	150	5	26.3157894736842	lvp_wt	1
E	180	5	26.3157894736842	lvp_wt	1
E	210	4	21.0526315789474	lvp_wt	1
E	240	4	21.0526315789474	lvp_wt	1
E	270	7	36.8421052631579	lvp_wt	1
E	300	6	31.5789473684211	lvp_wt	1
F	-60	0	0	lvp_wt	1
F	-30	2	10.5263157894737	lvp_wt	1
F	0	2	10.5263157894737	lvp_wt	1
F	30	12	63.1578947368421	lvp_wt	1
F	60	8	42.1052631578947	lvp_wt	1
F	90	7	36.8421052631579	lvp_wt	1
F	120	9	47.3684210526316	lvp_wt	1
F	150	6	31.5789473684211	lvp_wt	1
F	180	7	36.8421052631579	lvp_wt	1
F	210	7	36.8421052631579	lvp_wt	1
F	240	7	36.8421052631579	lvp_wt	1
F	270	6	31.5789473684211	lvp_wt	1
F	300	5	26.3157894736842	lvp_wt	1
G	-60	4	20	ir25a_19_het	1
G	-30	1	5	ir25a_19_het	1
G	0	2	10	ir25a_19_het	1
G	30	12	60	ir25a_19_het	1
G	60	8	40	ir25a_19_het	1
G	90	10	50	ir25a_19_het	1
G	120	5	25	ir25a_19_het	1
G	150	6	30	ir25a_19_het	1
G	180	8	40	ir25a_19_het	1
G	210	8	40	ir25a_19_het	1
G	240	4	20	ir25a_19_het	1
G	270	6	30	ir25a_19_het	1
G	300	5	25	ir25a_19_het	1
H	-60	1	5.55555555555556	ir25a_BamHI19_ko	1
H	-30	1	5.55555555555556	ir25a_BamHI19_ko	1
H	0	2	11.1111111111111	ir25a_BamHI19_ko	1
H	30	10	55.5555555555556	ir25a_BamHI19_ko	1
H	60	7	38.8888888888889	ir25a_BamHI19_ko	1
H	90	6	33.3333333333333	ir25a_BamHI19_ko	1
H	120	5	27.7777777777778	ir25a_BamHI19_ko	1
H	150	5	27.7777777777778	ir25a_BamHI19_ko	1
H	180	4	22.2222222222222	ir25a_BamHI19_ko	1
H	210	4	22.2222222222222	ir25a_BamHI19_ko	1
H	240	6	33.3333333333333	ir25a_BamHI19_ko	1
H	270	5	27.7777777777778	ir25a_BamHI19_ko	1
H	300	3	16.6666666666667	ir25a_BamHI19_ko	1
A	-60	3	15	lvp_wt	2
A	-30	3	15	lvp_wt	2
A	0	4	20	lvp_wt	2
A	30	18	90	lvp_wt	2
A	60	16	80	lvp_wt	2
A	90	9	45	lvp_wt	2
A	120	8	40	lvp_wt	2
A	150	10	50	lvp_wt	2
A	180	8	40	lvp_wt	2
A	210	6	30	lvp_wt	2
A	240	9	45	lvp_wt	2
A	270	6	30	lvp_wt	2
A	300	5	25	lvp_wt	2
B	-60	4	20	ir25a_19_het	2
B	-30	4	20	ir25a_19_het	2
B	0	3	15	ir25a_19_het	2
B	30	14	70	ir25a_19_het	2
B	60	12	60	ir25a_19_het	2
B	90	8	40	ir25a_19_het	2
B	120	6	30	ir25a_19_het	2
B	150	5	25	ir25a_19_het	2
B	180	7	35	ir25a_19_het	2
B	210	5	25	ir25a_19_het	2
B	240	7	35	ir25a_19_het	2
B	270	5	25	ir25a_19_het	2
B	300	5	25	ir25a_19_het	2
C	-60	1	5	lvp_wt	2
C	-30	3	15	lvp_wt	2
C	0	1	5	lvp_wt	2
C	30	14	70	lvp_wt	2
C	60	11	55	lvp_wt	2
C	90	8	40	lvp_wt	2
C	120	9	45	lvp_wt	2
C	150	11	55	lvp_wt	2
C	180	6	30	lvp_wt	2
C	210	7	35	lvp_wt	2
C	240	6	30	lvp_wt	2
C	270	5	25	lvp_wt	2
C	300	2	10	lvp_wt	2
D	-60	3	15	ir25a_BamHI_het	2
D	-30	2	10	ir25a_BamHI_het	2
D	0	2	10	ir25a_BamHI_het	2
D	30	13	65	ir25a_BamHI_het	2
D	60	7	35	ir25a_BamHI_het	2
D	90	11	55	ir25a_BamHI_het	2
D	120	4	20	ir25a_BamHI_het	2
D	150	6	30	ir25a_BamHI_het	2
D	180	9	45	ir25a_BamHI_het	2
D	210	7	35	ir25a_BamHI_het	2
D	240	2	10	ir25a_BamHI_het	2
D	270	6	30	ir25a_BamHI_het	2
D	300	3	15	ir25a_BamHI_het	2
E	-60	1	5	ir25a_BamHI19_ko	2
E	-30	3	15	ir25a_BamHI19_ko	2
E	0	2	10	ir25a_BamHI19_ko	2
E	30	14	70	ir25a_BamHI19_ko	2
E	60	10	50	ir25a_BamHI19_ko	2
E	90	10	50	ir25a_BamHI19_ko	2
E	120	9	45	ir25a_BamHI19_ko	2
E	150	7	35	ir25a_BamHI19_ko	2
E	180	4	20	ir25a_BamHI19_ko	2
E	210	4	20	ir25a_BamHI19_ko	2
E	240	7	35	ir25a_BamHI19_ko	2
E	270	7	35	ir25a_BamHI19_ko	2
E	300	3	15	ir25a_BamHI19_ko	2
F	-60	4	21.0526315789474	ir25a_BamHI_het	2
F	-30	4	21.0526315789474	ir25a_BamHI_het	2
F	0	2	10.5263157894737	ir25a_BamHI_het	2
F	30	12	63.1578947368421	ir25a_BamHI_het	2
F	60	10	52.6315789473684	ir25a_BamHI_het	2
F	90	7	36.8421052631579	ir25a_BamHI_het	2
F	120	9	47.3684210526316	ir25a_BamHI_het	2
F	150	6	31.5789473684211	ir25a_BamHI_het	2
F	180	7	36.8421052631579	ir25a_BamHI_het	2
F	210	7	36.8421052631579	ir25a_BamHI_het	2
F	240	4	21.0526315789474	ir25a_BamHI_het	2
F	270	7	36.8421052631579	ir25a_BamHI_het	2
F	300	8	42.1052631578947	ir25a_BamHI_het	2
G	-60	1	5.55555555555556	ir25a_19_het	2
G	-30	2	11.1111111111111	ir25a_19_het	2
G	0	1	5.55555555555556	ir25a_19_het	2
G	30	7	38.8888888888889	ir25a_19_het	2
G	60	13	72.2222222222222	ir25a_19_het	2
G	90	3	16.6666666666667	ir25a_19_het	2
G	120	4	22.2222222222222	ir25a_19_het	2
G	150	4	22.2222222222222	ir25a_19_het	2
G	180	10	55.5555555555556	ir25a_19_het	2
G	210	6	33.3333333333333	ir25a_19_het	2
G	240	5	27.7777777777778	ir25a_19_het	2
G	270	2	11.1111111111111	ir25a_19_het	2
G	300	4	22.2222222222222	ir25a_19_het	2
H	-60	1	5	ir25a_BamHI19_ko	2
H	-30	1	5	ir25a_BamHI19_ko	2
H	0	1	5	ir25a_BamHI19_ko	2
H	30	9	45	ir25a_BamHI19_ko	2
H	60	13	65	ir25a_BamHI19_ko	2
H	90	12	60	ir25a_BamHI19_ko	2
H	120	8	40	ir25a_BamHI19_ko	2
H	150	8	40	ir25a_BamHI19_ko	2
H	180	6	30	ir25a_BamHI19_ko	2
H	210	5	25	ir25a_BamHI19_ko	2
H	240	5	25	ir25a_BamHI19_ko	2
H	270	5	25	ir25a_BamHI19_ko	2
H	300	7	35	ir25a_BamHI19_ko	2
A	-60	0	0	ir25a_19_het	3
A	-30	1	5	ir25a_19_het	3
A	0	4	20	ir25a_19_het	3
A	30	18	90	ir25a_19_het	3
A	60	12	60	ir25a_19_het	3
A	90	10	50	ir25a_19_het	3
A	120	8	40	ir25a_19_het	3
A	150	9	45	ir25a_19_het	3
A	180	11	55	ir25a_19_het	3
A	210	7	35	ir25a_19_het	3
A	240	6	30	ir25a_19_het	3
A	270	3	15	ir25a_19_het	3
A	300	3	15	ir25a_19_het	3
B	-60	0	0	lvp_wt	3
B	-30	1	5.55555555555556	lvp_wt	3
B	0	0	0	lvp_wt	3
B	30	12	66.6666666666667	lvp_wt	3
B	60	10	55.5555555555556	lvp_wt	3
B	90	9	50	lvp_wt	3
B	120	6	33.3333333333333	lvp_wt	3
B	150	7	38.8888888888889	lvp_wt	3
B	180	7	38.8888888888889	lvp_wt	3
B	210	8	44.4444444444444	lvp_wt	3
B	240	8	44.4444444444444	lvp_wt	3
B	270	6	33.3333333333333	lvp_wt	3
B	300	5	27.7777777777778	lvp_wt	3
C	-60	1	5	ir25a_19_het	3
C	-30	2	10	ir25a_19_het	3
C	0	0	0	ir25a_19_het	3
C	30	13	65	ir25a_19_het	3
C	60	7	35	ir25a_19_het	3
C	90	7	35	ir25a_19_het	3
C	120	9	45	ir25a_19_het	3
C	150	6	30	ir25a_19_het	3
C	180	9	45	ir25a_19_het	3
C	210	7	35	ir25a_19_het	3
C	240	6	30	ir25a_19_het	3
C	270	5	25	ir25a_19_het	3
C	300	3	15	ir25a_19_het	3
D	-60	1	5	ir25a_BamHI19_ko	3
D	-30	2	10	ir25a_BamHI19_ko	3
D	0	1	5	ir25a_BamHI19_ko	3
D	30	13	65	ir25a_BamHI19_ko	3
D	60	9	45	ir25a_BamHI19_ko	3
D	90	9	45	ir25a_BamHI19_ko	3
D	120	12	60	ir25a_BamHI19_ko	3
D	150	8	40	ir25a_BamHI19_ko	3
D	180	6	30	ir25a_BamHI19_ko	3
D	210	3	15	ir25a_BamHI19_ko	3
D	240	5	25	ir25a_BamHI19_ko	3
D	270	5	25	ir25a_BamHI19_ko	3
D	300	5	25	ir25a_BamHI19_ko	3
E	-60	3	15	ir25a_BamHI_het	3
E	-30	2	10	ir25a_BamHI_het	3
E	0	2	10	ir25a_BamHI_het	3
E	30	14	70	ir25a_BamHI_het	3
E	60	12	60	ir25a_BamHI_het	3
E	90	7	35	ir25a_BamHI_het	3
E	120	8	40	ir25a_BamHI_het	3
E	150	9	45	ir25a_BamHI_het	3
E	180	6	30	ir25a_BamHI_het	3
E	210	6	30	ir25a_BamHI_het	3
E	240	8	40	ir25a_BamHI_het	3
E	270	7	35	ir25a_BamHI_het	3
E	300	6	30	ir25a_BamHI_het	3
F	-60	3	15.7894736842105	lvp_wt	3
F	-30	5	26.3157894736842	lvp_wt	3
F	0	5	26.3157894736842	lvp_wt	3
F	30	13	68.421052631579	lvp_wt	3
F	60	10	52.6315789473684	lvp_wt	3
F	90	13	68.421052631579	lvp_wt	3
F	120	6	31.5789473684211	lvp_wt	3
F	150	5	26.3157894736842	lvp_wt	3
F	180	5	26.3157894736842	lvp_wt	3
F	210	4	21.0526315789474	lvp_wt	3
F	240	4	21.0526315789474	lvp_wt	3
F	270	6	31.5789473684211	lvp_wt	3
F	300	4	21.0526315789474	lvp_wt	3
G	-60	1	5	ir25a_BamHI19_ko	3
G	-30	0	0	ir25a_BamHI19_ko	3
G	0	0	0	ir25a_BamHI19_ko	3
G	30	16	80	ir25a_BamHI19_ko	3
G	60	13	65	ir25a_BamHI19_ko	3
G	90	10	50	ir25a_BamHI19_ko	3
G	120	11	55	ir25a_BamHI19_ko	3
G	150	13	65	ir25a_BamHI19_ko	3
G	180	6	30	ir25a_BamHI19_ko	3
G	210	10	50	ir25a_BamHI19_ko	3
G	240	7	35	ir25a_BamHI19_ko	3
G	270	8	40	ir25a_BamHI19_ko	3
G	300	9	45	ir25a_BamHI19_ko	3
H	-60	7	35	ir25a_BamHI_het	3
H	-30	5	25	ir25a_BamHI_het	3
H	0	3	15	ir25a_BamHI_het	3
H	30	14	70	ir25a_BamHI_het	3
H	60	8	40	ir25a_BamHI_het	3
H	90	8	40	ir25a_BamHI_het	3
H	120	7	35	ir25a_BamHI_het	3
H	150	7	35	ir25a_BamHI_het	3
H	180	7	35	ir25a_BamHI_het	3
H	210	7	35	ir25a_BamHI_het	3
H	240	6	30	ir25a_BamHI_het	3
H	270	6	30	ir25a_BamHI_het	3
H	300	2	10	ir25a_BamHI_het	3
A	-60	1	5	ir25a_BamHI19_ko	4
A	-30	0	0	ir25a_BamHI19_ko	4
A	0	0	0	ir25a_BamHI19_ko	4
A	30	5	25	ir25a_BamHI19_ko	4
A	60	6	30	ir25a_BamHI19_ko	4
A	90	5	25	ir25a_BamHI19_ko	4
A	120	6	30	ir25a_BamHI19_ko	4
A	150	6	30	ir25a_BamHI19_ko	4
A	180	4	20	ir25a_BamHI19_ko	4
A	210	2	10	ir25a_BamHI19_ko	4
A	240	8	40	ir25a_BamHI19_ko	4
A	270	2	10	ir25a_BamHI19_ko	4
A	300	3	15	ir25a_BamHI19_ko	4
B	-60	1	5.26315789473684	ir25a_19_het	4
B	-30	0	0	ir25a_19_het	4
B	0	0	0	ir25a_19_het	4
B	30	6	31.5789473684211	ir25a_19_het	4
B	60	7	36.8421052631579	ir25a_19_het	4
B	90	9	47.3684210526316	ir25a_19_het	4
B	120	8	42.1052631578947	ir25a_19_het	4
B	150	6	31.5789473684211	ir25a_19_het	4
B	180	8	42.1052631578947	ir25a_19_het	4
B	210	4	21.0526315789474	ir25a_19_het	4
B	240	5	26.3157894736842	ir25a_19_het	4
B	270	4	21.0526315789474	ir25a_19_het	4
B	300	4	21.0526315789474	ir25a_19_het	4
C	-60	2	10	ir25a_BamHI_het	4
C	-30	2	10	ir25a_BamHI_het	4
C	0	2	10	ir25a_BamHI_het	4
C	30	9	45	ir25a_BamHI_het	4
C	60	13	65	ir25a_BamHI_het	4
C	90	5	25	ir25a_BamHI_het	4
C	120	8	40	ir25a_BamHI_het	4
C	150	10	50	ir25a_BamHI_het	4
C	180	8	40	ir25a_BamHI_het	4
C	210	3	15	ir25a_BamHI_het	4
C	240	4	20	ir25a_BamHI_het	4
C	270	4	20	ir25a_BamHI_het	4
C	300	7	35	ir25a_BamHI_het	4
D	-60	0	0	ir25a_BamHI_het	4
D	-30	0	0	ir25a_BamHI_het	4
D	0	0	0	ir25a_BamHI_het	4
D	30	8	40	ir25a_BamHI_het	4
D	60	8	40	ir25a_BamHI_het	4
D	90	13	65	ir25a_BamHI_het	4
D	120	7	35	ir25a_BamHI_het	4
D	150	5	25	ir25a_BamHI_het	4
D	180	4	20	ir25a_BamHI_het	4
D	210	7	35	ir25a_BamHI_het	4
D	240	6	30	ir25a_BamHI_het	4
D	270	4	20	ir25a_BamHI_het	4
D	300	6	30	ir25a_BamHI_het	4
E	-60	1	5	ir25a_19_het	4
E	-30	0	0	ir25a_19_het	4
E	0	0	0	ir25a_19_het	4
E	30	15	75	ir25a_19_het	4
E	60	14	70	ir25a_19_het	4
E	90	10	50	ir25a_19_het	4
E	120	6	30	ir25a_19_het	4
E	150	6	30	ir25a_19_het	4
E	180	4	20	ir25a_19_het	4
E	210	6	30	ir25a_19_het	4
E	240	6	30	ir25a_19_het	4
E	270	6	30	ir25a_19_het	4
E	300	5	25	ir25a_19_het	4
F	-60	0	0	lvp_wt	4
F	-30	0	0	lvp_wt	4
F	0	1	5	lvp_wt	4
F	30	11	55	lvp_wt	4
F	60	11	55	lvp_wt	4
F	90	9	45	lvp_wt	4
F	120	9	45	lvp_wt	4
F	150	10	50	lvp_wt	4
F	180	4	20	lvp_wt	4
F	210	6	30	lvp_wt	4
F	240	6	30	lvp_wt	4
F	270	7	35	lvp_wt	4
F	300	3	15	lvp_wt	4
G	-60	0	0	ir25a_BamHI19_ko	4
G	-30	0	0	ir25a_BamHI19_ko	4
G	0	0	0	ir25a_BamHI19_ko	4
G	30	10	50	ir25a_BamHI19_ko	4
G	60	7	35	ir25a_BamHI19_ko	4
G	90	9	45	ir25a_BamHI19_ko	4
G	120	8	40	ir25a_BamHI19_ko	4
G	150	7	35	ir25a_BamHI19_ko	4
G	180	5	25	ir25a_BamHI19_ko	4
G	210	2	10	ir25a_BamHI19_ko	4
G	240	4	20	ir25a_BamHI19_ko	4
G	270	6	30	ir25a_BamHI19_ko	4
G	300	3	15	ir25a_BamHI19_ko	4
H	-60	2	10.5263157894737	lvp_wt	4
H	-30	3	15.7894736842105	lvp_wt	4
H	0	2	10.5263157894737	lvp_wt	4
H	30	11	57.8947368421053	lvp_wt	4
H	60	8	42.1052631578947	lvp_wt	4
H	90	9	47.3684210526316	lvp_wt	4
H	120	10	52.6315789473684	lvp_wt	4
H	150	11	57.8947368421053	lvp_wt	4
H	180	8	42.1052631578947	lvp_wt	4
H	210	7	36.8421052631579	lvp_wt	4
H	240	9	47.3684210526316	lvp_wt	4
H	270	7	36.8421052631579	lvp_wt	4
H	300	8	42.1052631578947	lvp_wt	4
A	-60	0	0	ir25a_BamHI_het	5
A	-30	0	0	ir25a_BamHI_het	5
A	0	0	0	ir25a_BamHI_het	5
A	30	10	55.5555555555556	ir25a_BamHI_het	5
A	60	8	44.4444444444444	ir25a_BamHI_het	5
A	90	10	55.5555555555556	ir25a_BamHI_het	5
A	120	5	27.7777777777778	ir25a_BamHI_het	5
A	150	10	55.5555555555556	ir25a_BamHI_het	5
A	180	10	55.5555555555556	ir25a_BamHI_het	5
A	210	9	50	ir25a_BamHI_het	5
A	240	5	27.7777777777778	ir25a_BamHI_het	5
A	270	4	22.2222222222222	ir25a_BamHI_het	5
A	300	8	44.4444444444444	ir25a_BamHI_het	5
B	-60	0	0	ir25a_BamHI19_ko	5
B	-30	0	0	ir25a_BamHI19_ko	5
B	0	4	20	ir25a_BamHI19_ko	5
B	30	14	70	ir25a_BamHI19_ko	5
B	60	12	60	ir25a_BamHI19_ko	5
B	90	10	50	ir25a_BamHI19_ko	5
B	120	9	45	ir25a_BamHI19_ko	5
B	150	9	45	ir25a_BamHI19_ko	5
B	180	6	30	ir25a_BamHI19_ko	5
B	210	6	30	ir25a_BamHI19_ko	5
B	240	8	40	ir25a_BamHI19_ko	5
B	270	7	35	ir25a_BamHI19_ko	5
B	300	7	35	ir25a_BamHI19_ko	5
C	-60	0	0	ir25a_BamHI_het	5
C	-30	1	5	ir25a_BamHI_het	5
C	0	0	0	ir25a_BamHI_het	5
C	30	7	35	ir25a_BamHI_het	5
C	60	6	30	ir25a_BamHI_het	5
C	90	6	30	ir25a_BamHI_het	5
C	120	7	35	ir25a_BamHI_het	5
C	150	6	30	ir25a_BamHI_het	5
C	180	5	25	ir25a_BamHI_het	5
C	210	5	25	ir25a_BamHI_het	5
C	240	6	30	ir25a_BamHI_het	5
C	270	6	30	ir25a_BamHI_het	5
C	300	5	25	ir25a_BamHI_het	5
D	-60	2	10	ir25a_19_het	5
D	-30	2	10	ir25a_19_het	5
D	0	3	15	ir25a_19_het	5
D	30	11	55	ir25a_19_het	5
D	60	8	40	ir25a_19_het	5
D	90	9	45	ir25a_19_het	5
D	120	9	45	ir25a_19_het	5
D	150	8	40	ir25a_19_het	5
D	180	5	25	ir25a_19_het	5
D	210	8	40	ir25a_19_het	5
D	240	5	25	ir25a_19_het	5
D	270	2	10	ir25a_19_het	5
D	300	6	30	ir25a_19_het	5
E	-60	1	5.26315789473684	lvp_wt	5
E	-30	3	15.7894736842105	lvp_wt	5
E	0	1	5.26315789473684	lvp_wt	5
E	30	10	52.6315789473684	lvp_wt	5
E	60	15	78.9473684210526	lvp_wt	5
E	90	11	57.8947368421053	lvp_wt	5
E	120	9	47.3684210526316	lvp_wt	5
E	150	8	42.1052631578947	lvp_wt	5
E	180	6	31.5789473684211	lvp_wt	5
E	210	6	31.5789473684211	lvp_wt	5
E	240	5	26.3157894736842	lvp_wt	5
E	270	5	26.3157894736842	lvp_wt	5
E	300	4	21.0526315789474	lvp_wt	5
F	-60	0	0	ir25a_19_het	5
F	-30	0	0	ir25a_19_het	5
F	0	0	0	ir25a_19_het	5
F	30	12	63.1578947368421	ir25a_19_het	5
F	60	11	57.8947368421053	ir25a_19_het	5
F	90	11	57.8947368421053	ir25a_19_het	5
F	120	6	31.5789473684211	ir25a_19_het	5
F	150	6	31.5789473684211	ir25a_19_het	5
F	180	4	21.0526315789474	ir25a_19_het	5
F	210	5	26.3157894736842	ir25a_19_het	5
F	240	5	26.3157894736842	ir25a_19_het	5
F	270	7	36.8421052631579	ir25a_19_het	5
F	300	5	26.3157894736842	ir25a_19_het	5
G	-60	0	0	lvp_wt	5
G	-30	0	0	lvp_wt	5
G	0	0	0	lvp_wt	5
G	30	11	61.11111111111111	lvp_wt	5
G	60	7	38.8888888888889	lvp_wt	5
G	90	7	38.8888888888889	lvp_wt	5
G	120	6	33.3333333333333	lvp_wt	5
G	150	9	50	lvp_wt	5
G	180	7	38.8888888888889	lvp_wt	5
G	210	7	38.8888888888889	lvp_wt	5
G	240	6	33.3333333333333	lvp_wt	5
G	270	8	44.4444444444444	lvp_wt	5
G	300	9	50	lvp_wt	5
H	-60	1	5	ir25a_BamHI19_ko	5
H	-30	1	5	ir25a_BamHI19_ko	5
H	0	1	5	ir25a_BamHI19_ko	5
H	30	8	40	ir25a_BamHI19_ko	5
H	60	8	40	ir25a_BamHI19_ko	5
H	90	5	25	ir25a_BamHI19_ko	5
H	120	5	25	ir25a_BamHI19_ko	5
H	150	6	30	ir25a_BamHI19_ko	5
H	180	4	20	ir25a_BamHI19_ko	5
H	210	5	25	ir25a_BamHI19_ko	5
H	240	5	25	ir25a_BamHI19_ko	5
H	270	6	30	ir25a_BamHI19_ko	5
H	300	7	35	ir25a_BamHI19_ko	5
