time	landing_n	takeoff_n	group	n_mos	t_sampling
3.307692308	39	33	orl_wt	49	30
5.055555556	36	30	orl_wt	50	30
4.729166667	48	45	orl_wt	50	30
4.291666667	72	62	orl_wt	47	30
5.3	80	64	orl_wt	49	30
5.666666667	63	55	orl_wt	50	30
6.325301205	83	60	orl_wt	48	30
3.739130435	23	21	orl_wt	49	30
3.682926829	41	37	orl_wt	50	30
4.390243902	41	34	orco_5_het	50	30
7.280701754	57	45	orco_5_het	50	30
4.662790698	86	78	orco_5_het	49	30
5.181818182	22	19	orco_5_het	50	30
8.857142857	28	24	orco_5_het	50	30
6.576923077	78	60	orco_5_het	50	30
5.967741935	62	51	orco_5_het	49	30
4.833333333	42	35	orco_5_het	50	30
2.4	20	17	orco_5_het	48	30
6.37254902	51	43	orco_16_het	50	30
5	36	27	orco_16_het	50	30
4.010309278	97	81	orco_16_het	47	30
4.317073171	41	34	orco_16_het	49	30
4.617283951	81	74	orco_16_het	50	30
5.867647059	68	58	orco_16_het	48	30
4.640776699	103	90	orco_16_het	48	30
2.310344828	29	27	orco_16_het	50	30
3.3125	32	28	orco_16_het	50	30
6.115384615	78	61	orco_516_ko	50	30
5.4	85	74	orco_516_ko	50	30
5.927083333	96	75	orco_516_ko	50	30
4.907894737	76	62	orco_516_ko	50	30
5.794117647	102	83	orco_516_ko	50	30
5.65034965	143	122	orco_516_ko	50	30
4.431818182	132	112	orco_516_ko	50	30
5.288	125	107	orco_516_ko	50	30
4.57037037	135	113	orco_516_ko	50	30