count	legs	driver	sampleID
72	Foreleg	brp	1
71	Foreleg	brp	2
81	Foreleg	brp	3
64	Midleg	brp	1
64	Midleg	brp	2
58	Midleg	brp	3
61	Midleg	brp	4
44	Hindleg	brp	1
52	Hindleg	brp	2
45	Hindleg	brp	3
51	Foreleg	ir25a	1
50	Foreleg	ir25a	2
46	Foreleg	ir25a	3
52	Foreleg	ir25a	4
39	Midleg	ir25a	1
41	Midleg	ir25a	2
43	Midleg	ir25a	3
40	Midleg	ir25a	4
45	Midleg	ir25a	5
22	Hindleg	ir25a	1
21	Hindleg	ir25a	2
19	Hindleg	ir25a	3
28	Hindleg	ir25a	4
27	Hindleg	ir25a	5
29	Foreleg	ir76b	1
29	Foreleg	ir76b	2
27	Foreleg	ir76b	3
30	Foreleg	ir76b	4
26	Midleg	ir76b	1
21	Midleg	ir76b	2
24	Midleg	ir76b	3
26	Midleg	ir76b	4
3	Hindleg	ir76b	1
9	Hindleg	ir76b	2
5	Hindleg	ir76b	3
3	Hindleg	ir76b	4
15	Foreleg	gr4	1
13	Foreleg	gr4	2
16	Foreleg	gr4	3
15	Foreleg	gr4	4
15	Midleg	gr4	1
12	Midleg	gr4	2
16	Midleg	gr4	3
20	Midleg	gr4	4
15	Hindleg	gr4	1
13	Hindleg	gr4	2
14	Hindleg	gr4	3
10	Hindleg	gr4	4