cell_count	slice	driver	sampleID
1	0_50	brp	1
3	0_50	brp	2
34	50_100	brp	1
42	50_100	brp	2
26	100_150	brp	1
26	100_150	brp	2
13	150_200	brp	1
23	150_200	brp	2
0	0_50	ir25a	1
0	0_50	ir25a	2
0	0_50	ir25a	3
13	50_100	ir25a	1
21	50_100	ir25a	2
18	50_100	ir25a	3
20	100_150	ir25a	1
22	100_150	ir25a	2
16	100_150	ir25a	3
18	150_200	ir25a	1
11	150_200	ir25a	2
16	150_200	ir25a	3
0	0_50	ir76b	1
0	0_50	ir76b	2
2	50_100	ir76b	1
6	50_100	ir76b	2
17	100_150	ir76b	1
13	100_150	ir76b	2
5	150_200	ir76b	1
10	150_200	ir76b	2
0	0_50	gr4	1
0	0_50	gr4	2
0	0_50	gr4	3
6	50_100	gr4	1
9	50_100	gr4	2
8	50_100	gr4	3
7	100_150	gr4	1
4	100_150	gr4	2
8	100_150	gr4	3
2	150_200	gr4	1
0	150_200	gr4	2
0	150_200	gr4	3