genotype	batch	sampleID	tissue	sampleType	cell	peakresp	auc
ko	1	ko3	ml	mll	7	0.5484348203336861	28.611005690857642
ko	1	ko3	ml	mll	8	0.397000668096307	20.154640881494455
ko	1	ko3	ml	mll	9	0.4093844990931808	21.430531094840585
ko	1	ko3	ml	mll	10	0.33997792322034326	22.51837534468895
ko	1	ko3	ml	mll	11	0.30898201035809325	17.81786304470781
ko	1	ko3	ml	mll	12	0.3787124299602019	27.84135019671359
ko	1	ko3	ml	mll	13	0.30676447332298223	19.323398984135803
ko	1	ko3	ml	mll	14	0.25523624183220806	13.377477355518897
ko	1	ko3	ml	mll	15	0.306387174693125	18.70893555374408
ko	1	ko3	ml	mll	16	0.1720331497920921	10.500396432786111
ko	1	ko3	ml	mll	17	-0.13966850267182163	-17.019998922095514
ko	1	ko3	ml	mll	18	0.21036845959440034	11.105427981360856
ko	1	ko3	ml	mll	19	0.16566159517371254	11.37274684218633
ko	1	ko3	ml	mll	20	0.3904545727286149	21.917342932366992
ko	1	ko3	ml	mll	21	0.1840577243647497	11.220725380387986
ko	1	ko3	ml	mll	22	0.44778118654041293	11.675364238429024
ko	1	ko3	ml	mll	23	0.08525240377317327	4.38573327460811
ko	1	ko3	ml	mll	24	0.14085497814575848	6.218545339980338
ko	1	ko3	ml	mll	25	0.21051010408537632	16.8213338490976
ko	1	ko3	ml	mll	26	0.40441444272580573	8.701006392260267
ko	1	ko3	ml	mll	27	0.26419406723402933	8.306769981887564
ko	1	ko3	ml	mll	28	0.07378791688315589	-0.9317534937578608
ko	1	ko3	ml	mll	29	-0.027773532428840796	-10.214467186646317
ko	1	ko3	ml	mll	30	-0.004686356941878191	-4.996462888298707
ko	1	ko3	ml	mll	31	0.01506692535296707	-3.9466678914301303
ko	1	ko3	ml	mll	32	0.04770567158835758	-1.0466513066361898
ko	1	ko3	ml	mll	33	0.09319820482999584	3.6959668117561404
ko	2	ko1	fl	flr	1	0.6039671188412692	41.20537208333311
ko	2	ko1	fl	flr	2	1.2954121436801116	69.55687025233023
ko	2	ko1	fl	flr	3	0.7275916809841669	46.140779772269916
ko	2	ko1	fl	flr	4	1.5651922741010422	109.07219434295773
ko	2	ko1	fl	flr	5	0.4093145457116607	25.625044027481888
ko	2	ko1	fl	flr	6	0.9585659806156115	54.616915917051685
ko	2	ko1	fl	flr	7	0.9992235899641044	55.22667555017
ko	2	ko1	fl	flr	8	0.8860422597752571	60.8634869811897
ko	2	ko1	fl	flr	9	0.7537862453268062	50.46383708729157
ko	2	ko1	fl	flr	10	0.4518975842942311	22.457481253341328
ko	2	ko1	fl	flr	11	0.5508341255987789	25.451786417669904
ko	2	ko1	fl	flr	12	0.49086229737976794	12.80113256502281
ko	2	ko1	fl	flr	13	0.7723862582393685	39.91260114608568
ko	2	ko1	fl	flr	14	0.4754725183464945	26.50557550616648
ko	2	ko1	fl	flr	15	0.4839660368674049	26.916870356091504
ko	2	ko1	fl	flr	16	0.9392657500342299	56.890030773936516
ko	2	ko1	fl	flr	17	0.17522170857806096	7.047037720386671
ko	2	ko1	fl	flr	18	-0.17116149070837539	-36.35599485593167
ko	2	ko1	fl	flr	19	0.6191133695836728	26.388188901595488
ko	2	ko1	fl	flr	20	0.1284217319300808	3.5872639718842154
ko	2	ko1	fl	flr	21	0.32473149639836607	14.376020575385134
ko	2	ko1	fl	flr	22	0.2159731546256464	11.712374064173314
ko	2	ko1	fl	flr	23	0.5169773976556945	25.466242982755638
ko	2	ko1	fl	flr	24	0.7054306438886102	36.24756214026498
ko	2	ko1	fl	flr	25	0.16211623535888772	5.4092265265373465
ko	2	ko1	ml	mlr	1	0.22213413272240035	13.250907645313639
ko	2	ko1	ml	mlr	2	0.13385346437452175	7.937020306625384
ko	2	ko1	ml	mlr	3	0.11149377721677589	5.515602504269343
ko	2	ko1	ml	mlr	4	0.10669952399997228	5.868367058070341
ko	2	ko1	ml	mlr	5	0.3941314943709161	17.63164807362929
ko	2	ko1	ml	mlr	6	0.3269179420628205	14.468606473374466
ko	2	ko1	ml	mlr	7	0.27313796259961726	14.409327836548474
ko	2	ko1	ml	mlr	8	0.224485070668981	3.226838646936855
ko	2	ko1	ml	mlr	9	0.23414647252384105	3.2577519737440617
ko	2	ko1	ml	mlr	10	0.2510355376092344	10.764197503175494
ko	2	ko1	ml	mlr	11	0.6276495776660639	27.343691696718256
ko	2	ko1	ml	mlr	12	0.46481126045588517	26.403450425672148
ko	2	ko1	ml	mlr	13	0.17721980989539685	11.520646692904638
ko	2	ko1	ml	mlr	14	0.15497287839943175	9.108862589754619
ko	2	ko1	ml	mlr	15	0.002640354792229166	-2.4281176267316833
ko	2	ko1	ml	mlr	16	0.12455754518196435	8.107435495345166
ko	2	ko2	fl	fll	1	1.948038915244657	150.79431303473336
ko	2	ko2	fl	fll	2	1.6776543364904781	135.71148707566724
ko	2	ko2	fl	fll	3	0.9372566349805451	69.7951218424714
ko	2	ko2	fl	fll	4	1.455455492938472	112.59210155485684
ko	2	ko2	fl	fll	5	1.3684696320069765	108.05428922934665
ko	2	ko2	fl	fll	6	2.2135476570731605	145.6869677705021
ko	2	ko2	fl	fll	7	1.8916209106579152	106.74482376664322
ko	2	ko2	fl	fll	8	2.5294169945506657	150.99359076025266
ko	2	ko2	fl	fll	9	1.2700025424861823	97.73043527366907
ko	2	ko2	fl	fll	10	1.217654132827454	87.70171405714447
ko	2	ko2	fl	fll	11	1.240890234605735	91.16938839866613
ko	2	ko2	fl	fll	12	1.2767746385976277	104.54195392026993
ko	2	ko2	fl	fll	13	1.0691269435572348	89.3996071287318
ko	2	ko2	fl	fll	14	1.4117101194581891	82.51941512760973
ko	2	ko2	fl	fll	15	0.8394975388639276	71.0568522950046
ko	2	ko2	fl	fll	16	0.08313017020327973	-0.11458325331812419
ko	2	ko2	fl	fll	17	0.96363375276008445	81.65911418667467
ko	2	ko2	fl	fll	18	0.38446039429940143	25.67493658886404
ko	2	ko2	fl	fll	19	0.43310619105890535	35.67942175648749
ko	2	ko2	ml	mlr	1	0.1410259129793846	5.828661399507012
ko	2	ko2	ml	mlr	2	0.15098379678693002	5.951804199642235
ko	2	ko2	ml	mlr	3	0.12931771508852885	6.338799046752075
ko	2	ko2	ml	mlr	4	0.34418863513471465	20.015733281586996
ko	2	ko2	ml	mlr	5	0.3827233513595123	20.116861737650982
ko	2	ko2	ml	mlr	6	1.3036546784245753	75.70142952897461
ko	2	ko2	ml	mlr	7	0.6247390194004131	37.195408028601506
ko	2	ko2	ml	mlr	8	0.5720544976547256	29.39237559091631
ko	2	ko2	ml	mlr	9	0.2830504074962776	14.323937398730168
ko	2	ko2	ml	mlr	10	0.521385678523407	28.13582998854971
ko	2	ko2	ml	mlr	11	0.06435867574345445	1.8940097611077036
ko	2	ko2	ml	mlr	12	0.8845217262227146	51.619087426664116
ko	2	ko2	ml	mlr	13	0.08507053615253045	2.4398530900256974
ko	2	ko2	ml	mlr	14	0.0685854682584152	2.915166193516902
ko	2	ko3	fl	flr	1	-0.04519859221482778	-17.130725312625195
ko	2	ko3	fl	flr	2	0.12396120380728018	1.0804066190332986
ko	2	ko3	fl	flr	3	0.08212419494759579	3.522462274098897
ko	2	ko3	fl	flr	4	0.22533817754827287	8.555576231221329
ko	2	ko3	fl	flr	5	0.3794068521716992	22.457202730943507
ko	2	ko3	fl	flr	6	0.2887065737474564	16.282572358585828
ko	2	ko3	fl	flr	7	0.384269264559481	20.648415289240237
ko	2	ko3	fl	flr	8	0.32912069481611883	19.21995478373761
ko	2	ko3	fl	flr	9	0.372961908775694	16.899817590449473
ko	2	ko3	fl	flr	10	0.07835702189079814	-6.0352518371388335
ko	2	ko3	fl	flr	11	0.19696467673525547	12.686572622472852
ko	2	ko3	fl	flr	12	0.500813797174734	33.9557366714866
ko	2	ko3	fl	flr	13	0.2584931977139809	12.535290613044154
ko	2	ko3	fl	flr	14	0.19020927288035958	10.673101293349841
ko	2	ko3	fl	flr	15	0.2550224961695559	12.79849152824859
ko	2	ko3	fl	flr	16	0.4339251891099633	27.271540021082085
ko	2	ko3	fl	flr	17	0.47222272356486594	27.310369766702564
ko	2	ko3	fl	flr	18	0.19847520138757643	6.033804215837113
ko	2	ko3	fl	flr	19	0.24503206667748773	14.310792677080043
ko	2	ko3	fl	flr	20	0.30918060602990843	19.388567848691558
ko	2	ko3	fl	flr	21	0.21636830271480745	14.132930279808164
ko	2	ko3	fl	flr	22	0.3314194633939117	19.30485373872959
ko	2	ko3	fl	flr	23	0.05437317093472412	0.17967590583001647
ko	2	ko3	fl	flr	24	0.45176770757544277	19.521461427963885
ko	2	ko3	fl	flr	25	0.29690783154654565	16.452353759421637
ko	2	ko3	fl	flr	26	0.3362146388659694	16.32192356688676
ko	2	ko3	fl	flr	27	0.2965863857025537	12.261956422453512
ko	2	ko3	ml	mll	1	0.47404982426058445	9.000407595285804
ko	2	ko3	ml	mll	2	0.2837627147871985	4.245958223354064
ko	2	ko3	ml	mll	3	0.3049905493456764	8.184422713590102
ko	2	ko3	ml	mll	4	0.5595935678359424	16.383264589641033
ko	2	ko3	ml	mll	5	0.2555429094913774	3.8073331567637747
ko	2	ko3	ml	mll	6	0.3859841526313716	13.639507981923543
ko	2	ko3	ml	mll	7	0.11362949751665984	-0.6642972039082947
ko	2	ko3	ml	mll	8	0.27092674926643273	10.475568178947546
ko	2	ko3	ml	mll	9	0.1279204567570698	3.861222415933664
ko	2	ko3	ml	mll	10	0.19320006916634672	0.9485528990673858
ko	2	ko3	ml	mll	11	0.2101062612546372	6.436262021970172
ko	2	ko3	ml	mll	12	0.17914515171632053	5.24680266407902
ko	2	ko3	ml	mll	13	0.5655409578428201	8.940931274393765
ko	2	ko3	ml	mll	14	0.2401666411746632	13.181880904063332
ko	2	ko3	ml	mll	15	0.14024514654991632	7.842973939107193
ko	2	ko3	ml	mll	16	0.7303048393294542	41.19699485546611
ko	2	ko3	ml	mll	17	0.165765099682287	7.725512764443346
ko	2	ko3	ml	mll	18	0.1530286935550408	5.980739144258719
ko	2	ko3	ml	mll	19	0.06085800809568458	1.1387613201192552
ko	2	ko3	ml	mll	20	0.15691224022783243	4.758358907774259
ko	2	ko3	ml	mll	21	0.7767367043294063	36.17515923648193
ko	3	ko1	fl	fll	1	1.5006897732947948	97.24333549300127
ko	3	ko1	fl	fll	2	1.4660889352431383	98.2546285064523
ko	3	ko1	fl	fll	3	1.3687885990597957	93.12796323001422
ko	3	ko1	fl	fll	4	2.1144832540959535	141.8389613241801
ko	3	ko1	fl	fll	5	2.2136068326270575	161.75648577403098
ko	3	ko1	fl	fll	6	1.8963859648940904	139.3689802264201
ko	3	ko1	fl	fll	7	0.49757082749149534	33.493439911840035
ko	3	ko1	fl	fll	8	0.6320602161237312	44.31580007223188
ko	3	ko1	fl	fll	9	1.0160793404803146	62.72650559322103
ko	3	ko1	fl	fll	10	2.4156790126686163	158.5942487668354
ko	3	ko1	fl	fll	11	1.8695309995413683	139.13283813345174
ko	3	ko1	fl	fll	12	1.7093752729508473	121.13972533565585
ko	3	ko1	fl	fll	13	0.9897177198369248	69.86888420649991
ko	3	ko1	fl	fll	14	1.8271019080121473	133.5802695285882
ko	3	ko1	fl	fll	15	2.6450201562384987	172.15884899075974
ko	3	ko1	fl	fll	16	2.5627979326489165	187.1703684052142
ko	3	ko1	fl	fll	17	2.193475443799135	163.7181805795078
ko	3	ko1	fl	fll	18	0.6146154420372592	42.95606699574231
ko	3	ko1	fl	fll	19	0.8703738536836142	64.78786014496781
ko	3	ko1	fl	fll	20	0.5100462464003874	36.45864484898439
ko	3	ko1	fl	fll	21	1.438906600718919	111.83307385190238
ko	3	ko1	fl	fll	22	2.075289612215059	143.81640791110237
ko	3	ko1	fl	fll	23	2.737697265374029	203.89457076251517
ko	3	ko1	fl	fll	24	3.118472830125707	233.0823316016503
ko	3	ko1	fl	fll	25	2.0502555598692287	141.6810636950942
ko	3	ko1	fl	fll	26	0.9989979243690794	64.39207119081252
ko	3	ko1	fl	fll	27	0.8509823006327099	56.330305959692794
ko	3	ko1	fl	fll	28	1.4043377978937213	108.00576418191353
ko	3	ko1	fl	fll	29	1.1614670327114927	87.1423482531194
ko	3	ko1	fl	fll	30	1.5044936945296157	101.5311531090663
ko	3	ko1	fl	fll	31	2.0518912595080616	127.26502331947997
ko	3	ko1	fl	fll	32	1.9422424357685704	126.88664880242176
ko	3	ko1	fl	fll	33	2.287796488457602	159.4706176177626
ko	3	ko1	fl	fll	34	1.700366767765381	120.27835827573755
ko	3	ko1	fl	fll	35	0.5760380425609567	41.871272206971334
ko	3	ko1	fl	fll	36	1.085122726094951	78.39773088022551
ko	3	ko1	ml	mll	1	0.10895323936242561	3.6600038278547697
ko	3	ko1	ml	mll	2	0.3263422109973388	18.16992735776085
ko	3	ko1	ml	mll	3	0.3653390566602038	16.739886192100457
ko	3	ko1	ml	mll	4	0.6333803007894676	27.60786106349353
ko	3	ko1	ml	mll	5	0.3163594283643508	14.714118937136266
ko	3	ko1	ml	mll	6	0.44333905896102344	22.47424087168197
ko	3	ko1	ml	mll	7	0.22712754545447356	11.715253061690678
ko	3	ko1	ml	mll	8	0.983395602510094	33.71013764213902
ko	3	ko1	ml	mll	9	0.43913319145214436	22.01853506053443
ko	3	ko1	ml	mll	10	0.5596322668676634	32.037826177171006
ko	3	ko1	ml	mll	11	0.7950799605865383	48.85170210848621
ko	3	ko1	ml	mll	12	0.5755860988925242	33.23343505330156
ko	3	ko1	ml	mll	13	0.75474482068028	39.320956089845566
ko	3	ko1	ml	mll	14	0.7806188952689038	49.60573983394971
ko	3	ko1	ml	mll	15	0.640623622644263	40.873075758593686
ko	3	ko1	ml	mll	16	1.5353696110196846	90.51980346791177
ko	3	ko1	ml	mll	17	1.0513488339895702	72.85146104640647
ko	3	ko1	ml	mll	18	1.002852677527874	62.60866356312783
ko	3	ko1	ml	mll	19	0.09512803496698151	1.527455148254778
ko	3	ko1	ml	mll	20	0.6793099103093895	38.1075229024434
ko	3	ko1	ml	mll	21	0.08589988707071831	3.5691588000199967
ko	3	ko1	ml	mll	22	0.021801271763305423	-3.481019281875086
ko	3	ko1	ml	mll	23	0.36670321977389514	16.946014588199034
ko	3	ko1	ml	mll	24	0.49220667569068033	29.599191184869916
ko	3	ko1	ml	mll	25	0.05557536417705426	0.3418891741130103
ko	3	ko1	ml	mll	26	0.0460240966920729	-0.14304155631489454
ko	3	ko1	ml	mll	27	0.10784813452001149	4.644389501362563
ko	3	ko1	ml	mll	28	0.14592215245071885	8.853882923690179
ko	3	ko1	ml	mll	29	0.06100394585993744	0.5466517891590393
ko	3	ko1	ml	mll	30	0.2021103840617402	3.6789044061837592
ko	3	ko1	ml	mll	31	0.21967133217407306	7.241864391459624
ko	3	ko1	ml	mll	32	0.2346343095025238	10.976297628654374
ko	3	ko1	ml	mll	33	0.34961964027766473	6.115521725070991
ko	3	ko2	fl	flr	1	0.24950525001615978	11.745444705343463
ko	3	ko2	fl	flr	2	0.24521148764105025	7.6400640026761
ko	3	ko2	fl	flr	3	0.26341689244195843	12.3001152346207
ko	3	ko2	fl	flr	4	0.14484254850914716	6.674233494421396
ko	3	ko2	fl	flr	5	0.1192637743619955	0.3340551276847681
ko	3	ko2	fl	flr	6	0.18862497757245647	7.059131622789153
ko	3	ko2	fl	flr	7	0.15782055362989345	9.626692433243038
ko	3	ko2	fl	flr	8	0.1389869428100881	8.922223813932941
ko	3	ko2	fl	flr	9	0.12816527890999987	7.440738266047954
ko	3	ko2	fl	flr	10	0.17689930912415402	8.643573255858865
ko	3	ko2	fl	flr	11	0.09236768975404151	-1.3069008057547102
ko	3	ko2	fl	flr	12	0.31464889559666037	11.437387552487753
ko	3	ko2	ml	mll	1	0.7183721869006952	29.12165974519851
ko	3	ko2	ml	mll	2	0.4517690134737959	22.668349355740546
ko	3	ko2	ml	mll	3	0.8879560707785921	37.58031207191626
ko	3	ko2	ml	mll	4	1.3537004380518534	85.08306071136423
ko	3	ko2	ml	mll	5	0.7305689171790614	38.66714727887173
ko	3	ko2	ml	mll	6	0.6190485464999637	31.668106389047193
ko	3	ko2	ml	mll	7	1.2612344504291848	81.88544151747283
ko	3	ko2	ml	mll	8	0.7522268538220963	46.39571479945691
ko	3	ko2	ml	mll	9	0.810984745557342	48.87802170987275
ko	3	ko2	ml	mll	10	0.9169274921498561	51.14818534887556
ko	3	ko2	ml	mll	11	1.4330382812135423	84.59626905390964
ko	3	ko2	ml	mll	12	0.4409159307146478	25.67757270254493
ko	3	ko2	ml	mll	13	0.5731091579720392	29.706603104294736
ko	3	ko2	ml	mll	14	0.46990669473487257	29.65928967618632
ko	3	ko2	ml	mll	15	0.5394494956515469	33.46070678985508
ko	3	ko2	ml	mll	16	0.503298666328094	30.941586279309675
ko	3	ko2	ml	mll	17	0.756892451086651	49.94907444311372
ko	3	ko2	ml	mll	18	0.03918601789038748	-6.543441829929636
ko	3	ko2	ml	mll	19	0.7884218251028156	44.1292502691975
ko	3	ko2	ml	mll	20	0.8550632208909787	41.81719140471889
ko	3	ko2	ml	mll	21	0.6913066607682716	34.55543119849135
ko	3	ko2	ml	mll	22	0.7079851782816463	34.57048592525169
ko	3	ko2	ml	mll	23	0.7057952662218969	37.24840042169852
ko	3	ko2	ml	mll	24	0.7398034717355394	29.68425921841844
ko	3	ko2	ml	mll	25	0.12279630079533893	4.161485510010652
ko	3	ko2	ml	mll	26	0.22208663132337786	9.898633153388648
ko	3	ko2	ml	mll	27	0.0682233012063512	0.3988479906293318
ko	3	ko2	ml	mll	28	0.2414067659429096	4.130703283873018
ko	3	ko3	fl	fll	1	1.0965157995649446	66.46474930333144
ko	3	ko3	fl	fll	2	0.2508355349213974	12.178968016042214
ko	3	ko3	fl	fll	3	0.41752253357548286	20.021541227053824
ko	3	ko3	fl	fll	4	0.8523630272637016	36.01193387569109
ko	3	ko3	fl	fll	5	1.2369695343019491	61.22171158007312
ko	3	ko3	fl	fll	6	1.1536365289479114	55.60103616418894
ko	3	ko3	fl	fll	7	1.6304866732904773	84.79632861978213
ko	3	ko3	fl	fll	8	0.8856360824193162	52.76985744963228
ko	3	ko3	fl	fll	9	1.624892192244474	92.73995826292897
ko	3	ko3	fl	fll	10	1.232237758742192	73.98561478634285
ko	3	ko3	fl	fll	11	1.3126805432017068	90.00445829959858
ko	3	ko3	fl	fll	12	0.48832274914977114	30.41395785011516
ko	3	ko3	fl	fll	13	0.8041743725489158	51.18352002929274
ko	3	ko3	fl	fll	14	0.3097559014140348	19.542489912351417
ko	3	ko3	fl	fll	15	0.19711379614148283	10.503033270668952
ko	3	ko3	fl	fll	16	0.6052914661227076	32.289813920272614
ko	3	ko3	fl	fll	17	0.8582187429384804	39.6345995443165
ko	3	ko3	fl	fll	18	0.3356595211216331	19.43827858612676
ko	3	ko3	fl	fll	19	0.5004008128889126	27.990269466865335
ko	3	ko3	fl	fll	20	0.3775040886644372	19.9382523350724
ko	3	ko3	fl	fll	21	0.528406691319055	14.523058011202131
ko	3	ko3	fl	fll	22	0.444239034916421	23.967044015368845
ko	3	ko3	ml	mll	1	0.32936829995906297	17.13734304556899
ko	3	ko3	ml	mll	2	0.41389711507405663	13.941401666361024
ko	3	ko3	ml	mll	3	0.17967359143857298	6.7345664067154445
ko	3	ko3	ml	mll	4	0.15570278181742686	6.21491096207367
ko	3	ko3	ml	mll	5	0.1430736963973588	3.4408276659735413
ko	3	ko3	ml	mll	6	0.1391412240552389	3.55087281279037
ko	3	ko3	ml	mll	7	0.11379070481266756	0.25358938949290655
ko	3	ko3	ml	mll	8	0.16653124286005494	7.036688033150638
ko	3	ko3	ml	mll	9	0.07704154226690192	-0.48539193228874444
ko	3	ko3	ml	mll	10	0.07819785172375295	0.28499231655317525
ko	3	ko3	ml	mll	11	2.0333996820639526	107.92482683668348
ko	3	ko3	ml	mll	12	1.2696158858441755	57.70353811184747
ko	3	ko3	ml	mll	13	0.9996412419162495	49.54843704517085
ko	3	ko3	ml	mll	14	1.6279875391410294	78.34612919316437
ko	3	ko3	ml	mll	15	1.001105326720446	50.65003221601748
ko	3	ko3	ml	mll	16	1.2016714462067843	54.58258438280036
ko	3	ko3	ml	mll	17	0.5869180730921484	27.245846006492673
ko	3	ko3	ml	mll	18	1.1437633990679543	69.33250914946969
ko	3	ko3	ml	mll	19	1.0193790343724294	65.49836590022703
ko	3	ko3	ml	mll	20	1.1074021396359814	59.21746760381414
ko	3	ko3	ml	mll	21	0.6794056657593361	28.690870472948173
ko	3	ko3	ml	mll	22	0.9030831044960729	54.40682347612093
ko	3	ko3	ml	mll	23	0.6322424583938205	36.188920882556424
ko	3	ko3	ml	mll	24	0.6061847011350027	31.590622086778808
ko	3	ko3	ml	mll	25	0.7717641440445555	51.06141088547195
ko	3	ko3	ml	mll	26	0.7163003074438065	24.31734871580911
ko	3	ko3	ml	mll	27	0.5887563327625697	24.652967072504737
ko	3	ko3	ml	mll	28	0.6690934519679431	31.622212694469244
ko	3	ko3	ml	mll	29	0.6114416832305681	23.811810612911973
ko	3	ko3	ml	mll	30	0.4048167994370402	13.956867966790275
ko	3	ko4	fl	fll	1	2.1033253001008667	90.2216345573378
ko	3	ko4	fl	fll	2	2.168602219643631	91.41370881132372
ko	3	ko4	fl	fll	3	0.681866492360505	31.95172999190659
ko	3	ko4	fl	fll	4	1.1088752400150699	47.47515957573679
ko	3	ko4	fl	fll	5	1.3259221234788794	60.20054596396705
ko	3	ko4	fl	fll	6	0.7048169912414229	49.12981634807375
ko	3	ko4	fl	fll	7	0.4229037826015725	27.390295161949787
ko	3	ko4	fl	fll	8	1.118615046267572	68.62499518065876
ko	3	ko4	fl	fll	9	0.9188419503572455	38.72384889046269
ko	3	ko4	fl	fll	10	0.7289898729407669	39.92093445298229
ko	3	ko4	fl	fll	11	0.39801416994900146	23.386577897969367
ko	3	ko4	fl	fll	12	0.781221430943318	48.69962478716703
ko	3	ko4	fl	fll	13	0.7864165881278641	47.135741600337326
ko	3	ko4	fl	fll	14	0.6307011197109635	31.0772272197517
ko	3	ko4	fl	fll	15	0.8317231073795703	57.3853650193432
ko	3	ko4	fl	fll	16	1.364958045551468	75.01146385303207
ko	3	ko4	fl	fll	17	0.672978056540298	29.835333651412974
ko	3	ko4	fl	fll	18	0.7284735692401162	36.061735951302815
ko	3	ko4	fl	fll	19	0.699132071540809	36.86635613852084
ko	3	ko4	fl	fll	20	0.9009488496054371	61.4751821008452
ko	3	ko4	fl	fll	21	0.5135556758623564	26.233745360126047
ko	3	ko4	fl	fll	22	0.5842710109368372	29.89987920558901
ko	3	ko4	fl	fll	23	0.9117983488073163	57.31048406615989
ko	3	ko4	fl	fll	24	0.211966823548195	3.2914843753663745
ko	3	ko4	fl	fll	25	0.40140493316664344	15.831602248771127
ko	3	ko4	fl	fll	26	0.5588093683427735	30.30496918318214
ko	3	ko4	fl	fll	27	1.0292080023259973	65.3726701809958
ko	3	ko4	fl	fll	28	0.49833393605510645	24.905111680021193
ko	3	ko4	fl	fll	29	0.18642716265541623	-3.733642689220339
ko	3	ko4	fl	fll	30	0.3564598709931117	15.189351312612713
ko	3	ko4	fl	fll	31	0.4812027981388683	21.114693411517234
ko	3	ko4	fl	fll	32	0.6088300809823871	32.75616221438935
ko	3	ko4	fl	fll	33	0.44226898026002076	20.186572357244167
ko	3	ko4	fl	fll	34	0.2756485020422095	10.529126488581708
ko	3	ko4	fl	fll	35	0.12457334694758478	7.217073078434384
ko	3	ko4	fl	fll	36	0.2176690873727582	13.222628847853953
ko	3	ko4	fl	fll	37	0.3592936893672223	18.0202722329391
ko	3	ko4	fl	fll	38	0.3353496954826978	17.913530644036474
ko	3	ko4	fl	fll	39	0.519242911765191	26.494560838727672
ko	3	ko4	fl	fll	40	0.5192329791158694	26.29083476625336
ko	3	ko4	fl	fll	41	0.21049584123605042	14.756694460281306
ko	3	ko4	fl	fll	42	0.2612207672457215	18.315226930998506
ko	3	ko4	ml	mll	1	0.29628743419709497	13.28062317004799
ko	3	ko4	ml	mll	2	-0.0782185089984831	-27.116807188302207
ko	3	ko4	ml	mll	3	0.1637993421725533	4.6994131814499145
ko	3	ko4	ml	mll	4	0.3807814564409115	18.63085567179849
ko	3	ko4	ml	mll	5	-0.1014575169824267	-16.796302332306944
ko	3	ko4	ml	mll	6	1.3709412025500645	60.80590144886211
ko	3	ko4	ml	mll	7	0.17758251479497628	8.959332232356477
ko	3	ko4	ml	mll	8	0.04206224910419326	-2.402035973572545
ko	3	ko4	ml	mll	9	0.3936117770403593	24.385898996974184
ko	3	ko4	ml	mll	10	0.5642015637000579	29.36095216831217
ko	3	ko4	ml	mll	11	0.499174450311927	18.91185022588274
ko	3	ko4	ml	mll	12	0.8212663358684619	47.06102932088008
ko	3	ko4	ml	mll	13	0.5671177122090933	33.88630807571258
ko	3	ko4	ml	mll	14	0.602290080314379	34.963235657038766
ko	3	ko4	ml	mll	15	0.43445709785949094	27.14896452447076
ko	3	ko4	ml	mll	16	0.17617294610589448	8.277350672971416
ko	3	ko4	ml	mll	17	0.4697542984355698	28.597005042584083
ko	3	ko4	ml	mll	18	0.6941906530757599	46.0564563623424
ko	3	ko4	ml	mll	19	0.8875736509321732	51.26854697032106
ko	3	ko4	ml	mll	20	0.953695603615384	49.55655257774188
ko	3	ko4	ml	mll	21	0.6961375072008104	35.72112870094548
ko	3	ko4	ml	mll	22	0.3130297298937211	17.98956152826224
ko	3	ko4	ml	mll	23	0.23094798778047831	10.161805132312917
ko	3	ko4	ml	mll	24	0.26811018562443945	14.729411496354968
ko	3	ko4	ml	mll	25	0.25378818906806394	13.402040401204914
ko	3	ko4	ml	mll	26	0.17309369791123752	-1.362163798124639
ko	3	ko4	ml	mll	27	0.028282826483627708	-7.904540306709372
ko	3	ko4	ml	mll	28	0.7438879201668284	58.4192510915526
ko	3	ko4	ml	mll	29	0.06893700743407025	-0.8671820373376408
ko	3	ko4	ml	mll	30	0.17104310366881448	3.213118474969347
ko	3	ko4	ml	mll	31	0.11467147535906445	-1.118821232906171
ko	3	ko4	ml	mll	32	0.1672325843114213	7.397699226856464
ko	3	ko4	ml	mll	33	0.10957875113050022	3.605517479570524
