heatseek	group	pelt_temp_step
2.044	orl	26
5.6923	orl	26
0.5275	orl	26
0	orl	26
0	orl	26
0.022	orl	26
0	orl	26
1.7363	orl	26
3.7143	orl	26
0.4396	orl	26
4.3516	orl	26
0.022	orco1616	26
0.4396	orco1616	26
0.2198	orco1616	26
0	orco1616	26
10.2418	orco1616	26
5.8022	orco1616	26
4	orco1616	26
0	orco1616	26
2.0879	orco1616	26
5.7582	orco1616	26
0.0659	Ir140_49_orco1616	26
0.1099	Ir140_49_orco1616	26
0	Ir140_49_orco1616	26
0	Ir140_49_orco1616	26
2.4396	Ir140_49_orco1616	26
6.3516	Ir140_49_orco1616	26
2.1538	Ir140_49_orco1616	26
5.6923	Ir140_49_orco1616	26
2.8791	Ir140_49_orco1616	26
0	Ir140_49_orco1616	26
4.3077	Ir140_49_orco1616	26
1.1429	Ir140_14_orco1616	26
12.1978	Ir140_14_orco1616	26
4.8791	Ir140_14_orco1616	26
0.8298	Ir140_14_orco1616	26
4.9338	Ir140_14_orco1616	26
0.5158	Ir140_14_orco1616	26
6.7033	Ir140_14_orco1616	26
4.1758	Ir140_14_orco1616	26
0	Ir140_4914_orco1616	26
2.6593	Ir140_4914_orco1616	26
4.2857	Ir140_4914_orco1616	26
0	Ir140_4914_orco1616	26
1.4066	Ir140_4914_orco1616	26
0	Ir140_4914_orco1616	26
1.4505	Ir140_4914_orco1616	26
0.3956	Ir140_4914_orco1616	26
0	Ir140_4914_orco1616	26
0.022	Ir140_4914_orco1616	26
0.3077	Ir140_4914_orco1616	26
18.9451	orl	36
13.978	orl	36
14.2418	orl	36
12.3516	orl	36
18.9231	orl	36
9.9121	orl	36
11.2747	orl	36
17.8681	orl	36
12.7033	orl	36
17.6484	orl	36
20.0659	orl	36
18.0659	orco1616	36
19.2088	orco1616	36
22.8132	orco1616	36
21.7143	orco1616	36
31.5385	orco1616	36
20.5934	orco1616	36
20.8571	orco1616	36
29.6923	orco1616	36
29.6264	orco1616	36
27.5385	orco1616	36
26.3516	Ir140_49_orco1616	36
29.4505	Ir140_49_orco1616	36
23.7143	Ir140_49_orco1616	36
25.0549	Ir140_49_orco1616	36
26.989	Ir140_49_orco1616	36
24.4615	Ir140_49_orco1616	36
21.0989	Ir140_49_orco1616	36
24.3956	Ir140_49_orco1616	36
20.0879	Ir140_49_orco1616	36
17.4945	Ir140_49_orco1616	36
18.1538	Ir140_49_orco1616	36
24.8571	Ir140_14_orco1616	36
29.3407	Ir140_14_orco1616	36
21.1209	Ir140_14_orco1616	36
24.3104	Ir140_14_orco1616	36
27.3604	Ir140_14_orco1616	36
24.7365	Ir140_14_orco1616	36
19.8022	Ir140_14_orco1616	36
18.6374	Ir140_14_orco1616	36
18.1538	Ir140_4914_orco1616	36
21.2308	Ir140_4914_orco1616	36
19.3407	Ir140_4914_orco1616	36
22.8571	Ir140_4914_orco1616	36
22.4615	Ir140_4914_orco1616	36
16.4835	Ir140_4914_orco1616	36
20.7033	Ir140_4914_orco1616	36
19.7363	Ir140_4914_orco1616	36
15.2747	Ir140_4914_orco1616	36
16.3516	Ir140_4914_orco1616	36
13.0769	Ir140_4914_orco1616	36
5.3846	orl	55
3.8462	orl	55
1.5824	orl	55
2.1758	orl	55
2	orl	55
2.2857	orl	55
2.9231	orl	55
1.5604	orl	55
2.3956	orl	55
2.3077	orl	55
4.4396	orl	55
2.4396	orco1616	55
4.1978	orco1616	55
3.1209	orco1616	55
7.6923	orco1616	55
6.967	orco1616	55
9.2747	orco1616	55
10.9231	orco1616	55
9.6264	orco1616	55
8.5714	orco1616	55
7.3846	orco1616	55
4.9231	Ir140_49_orco1616	55
4.7912	Ir140_49_orco1616	55
3.4505	Ir140_49_orco1616	55
4.7912	Ir140_49_orco1616	55
4.2198	Ir140_49_orco1616	55
4.7692	Ir140_49_orco1616	55
6.3077	Ir140_49_orco1616	55
5.8022	Ir140_49_orco1616	55
6.0879	Ir140_49_orco1616	55
2.7473	Ir140_49_orco1616	55
3.1429	Ir140_49_orco1616	55
4.6813	Ir140_14_orco1616	55
8.989	Ir140_14_orco1616	55
7.033	Ir140_14_orco1616	55
4.418	Ir140_14_orco1616	55
6.9522	Ir140_14_orco1616	55
6.1897	Ir140_14_orco1616	55
4.7253	Ir140_14_orco1616	55
6.1319	Ir140_14_orco1616	55
2.6154	Ir140_4914_orco1616	55
3.6703	Ir140_4914_orco1616	55
5.4505	Ir140_4914_orco1616	55
7.0549	Ir140_4914_orco1616	55
6.1099	Ir140_4914_orco1616	55
4.6374	Ir140_4914_orco1616	55
5.8462	Ir140_4914_orco1616	55
6.044	Ir140_4914_orco1616	55
3.3407	Ir140_4914_orco1616	55
4.7033	Ir140_4914_orco1616	55
3.6044	Ir140_4914_orco1616	55